SampleID,DIL1,DIL2,DIL3,DIL4,DIL5,OA1,OA2,OA3,OA4,OA5
2310057N15Rik,0,6.960972361,0,2.846185603,2.094276638,1.86499786,12.68710179,0,0,0
2310061I04Rik,0,39.35105559,25.48464965,82.15090753,5.317912729,56.51471219,1.490030731,35.86701784,1.039706588,0
2310061N02Rik,0,2.501634788,7.901387474,3.837796809,2.095610311,0,4.778929202,2.145101337,0,13.57793272
2310079G19Rik,0,6.007205538,0,4.783011132,13.64451113,0,14.33722142,4.285719287,0,0
2410002F23Rik,39.76230725,122.5197224,153.0016888,31.2175161,84.68134694,117.0110111,70.0688879,115.946873,14.94504829,45.80258071
2410004B18Rik,0,14.19663659,19.72434679,16.61738867,11.60004914,13.93645326,21.81349061,6.612814222,59.56741789,20.82450451
2410004P03Rik,503.1023834,197.5720135,826.9709307,217.208004,350.9634355,242.6766842,252.8668723,280.6489396,350.8995273,528.0961897
2410024N13Rik,0,7.477479583,0,3.862814069,0,0,0,11.84291704,0,1.237251387
2410137M14Rik,0,3.953393919,9.01919062,0,3.682821346,10.7086916,18.17213069,2.820884806,0,0
2510002D24Rik,68.85020119,55.34330164,19.15742114,13.33219832,2.311239235,4.117270234,16.32679219,21.21141217,14.01135823,5.423113397
2510009E07Rik,0,49.32407828,104.157621,47.45748259,27.84842439,46.72856934,19.80152906,86.42214992,55.30386793,59.10835945
2510039O18Rik,19.09473842,85.52047227,17.48920171,27.22563424,17.9216965,1.870983859,30.13348044,24.44456249,37.63523925,24.54706188
2610001J05Rik,0,64.63742098,70.51702279,45.11225721,44.79707723,2.921191588,25.74788249,13.17893474,42.45100039,5.268451293
2610002M06Rik,0,21.02600537,2.724627619,15.44487444,18.07421134,24.03679485,6.107767782,13.63451946,1.895320707,42.00945785
2610005L07Rik,961.4460553,664.1241041,1523.90622,765.354139,1010.725159,1063.035677,1059.104404,805.1390377,843.484479,1205.937321
2610008E11Rik,59.41765816,30.0052652,0,22.8699021,40.74267132,11.13415673,12.62173061,9.255996684,0,68.65689657
2610021A01Rik,2.07974019,8.220616886,49.09823284,75.01418011,26.16470264,39.65352299,57.54617933,64.78379337,15.17781375,118.20932
2610024D14Rik,0,0,0,0,0,9.676212351,0.822775896,10.00633836,0,0
2610028H24Rik,0,5.287415191,35.55534653,3.163012274,2.348690616,0,0,0,15.08551209,5.978173426
2610042L04Rik,0,8.382572606,0,8.474695425,27.38194425,0,8.727637992,6.384200385,0,29.47625064
2610044O15Rik8,90.63250914,102.9006065,934.5753899,122.8468415,69.51269676,74.0109031,116.7465631,54.49225544,41.98823085,422.3864509
2610301B20Rik,60.35053933,22.33729186,0,5.608783287,3.588516488,9.558878108,34.58464142,55.57118342,18.85613547,11.50319523
2610318N02Rik,7.762858311,22.92235814,8.298768651,9.296024387,10.25404706,11.65981204,20.17932363,21.260745,25.4078007,17.01162104
